id,title,genre,director,starring_cast,writer,editor,composer,cinematographer,producer,distribution_company,release_date,runtime,budget,budget_adjusted,box_office,box_office_adjusted,image_name,archive_link,wiki_link
1,Sunrise: A Song of Two Humans,silent romantic drama,F. W. Murnau,"George O'Brien, Janet Gaynor, and Margaret Livingston",Carl Mayer,Harold Schuster,Hugo Riesenfeld,Charles Roshner and Karl Struss,William Fox,Fox Film Corporation,"September 23, 1927",95,"$200,000 (estimated)",$3.4 million,"$121,107 ",$2 million,m01.jpeg,https://archive.org/details/sunrise-a-song-of-two-humans-f.-w.-murnau-1927,https://en.wikipedia.org/wiki/Sunrise:_A_Song_of_Two_Humans
2,Wings,silent romantic action adventure,William A. Wellman,"Clara Bow, Charles ""Buddy"" Rogers, and Richard Arlen","Hope Loring, Louis D. Lighton, and Julian Johnson (titles)",E. Lloyd Sheldon and Lucien Hubbard (uncredited),J.S. Zamecnik (uncredited),Harry Perry,"Lucien Hubbard, Adolph Zukor, Jesse L. Lasky, B. P. Schulberg, and Otto Hermann Kahn",Paramount Pictures,"August 12, 1927",111,$2 million,$28.8 million,$3.8 million,$65.7 million,m02.jpeg,https://archive.org/details/wings-1927,https://en.wikipedia.org/wiki/Wings_(1927_film)
3,The Jazz Singer,musical drama,Alan Crosland,"Al Jolson, May McAvoy, Warner Oland, and Yossele Rosenblatt",Alfred A. Cohn,Harold McCord,Louis Silvers,Hal Mohr,Darryl F. Zanuck,Warner Bros. Pictures,"October 27, 1927",89,"$422,000 ",$7.2 million,$2.6 million,$45 million,m03.jpeg,https://archive.org/details/the-jazz-singer-1927,https://en.wikipedia.org/wiki/The_Jazz_Singer
4,London After Midnight,silent mystery horror,Tod Browning,"Lon Chaney, Marceline Day, Conrad Nagel, Henry B. Walthall, Polly Moran, Edna Tichenor, and Claude King",Waldemar Young and Joseph W. Farnham (titles),Harry Reynolds and Irving Thalberg (uncredited),Sam Feinburg and Jack Feinburg,Merritt B. Gerstad,Tod Browning and Irving Thalberg,Metro-Goldwyn-Mayer,"December 3, 1927",69,"$151,666 ",$2.6 million,$1 million,$17.2 million,m04.jpeg,lost,https://en.wikipedia.org/wiki/London_After_Midnight_(film)
5,The Unknown,silent horror,Tod Browning,"Lon Chaney, Norman Kerry, Joan Crawford, Nick De Ruiz, and John George",Waldemar Young and Joseph W. Farnham (titles),Harry Reynolds and Errol Taggart,,Merritt B. Gerstad,Irving G. Thalberg,Metro-Goldwyn-Mayer,"June 4, 1927",66,"$217,000 ",$3.7 million,"$847,000 ",$14.6 million,m05.jpeg,https://archive.org/details/the-unknown_1927,https://en.wikipedia.org/wiki/The_Unknown_(1927_film)
6,The King of Kings,silent epic,Cecil B. DeMille,"H.B. Warner, Dorothy Cumming, Ernest Torrence, Joseph Schildkraut, and James Neil",Jeanie MacPherson,Anne Bauchens and Harold McLernon,Hugo Riesenfeld and Josiah Zuro,J. Peverall Marley and F.J. Westerberg,Cecil B. DeMille,Pathé Exchange,"19 April 1927",155,$1.2 million,$20.7 million,$2.6 million,$45 million,m06.gif,https://archive.org/details/TheKingOfKings1927ByCecilB.DeMille,https://en.wikipedia.org/wiki/The_King_of_Kings_(1927_film)
7,7th Heaven,silent romantic drama,Frank Borzage,"Janet Gaynor, Charles Farrell, and Ben Bard","Benjamin Glazer, Harry H. Caldwell (titles), Katharine Hillker (titles), Bernard Vorhaus (uncredited)",Barney Wolf,Ernö Rapée,Ernest Palmer and Joseph A. Valentine,William Fox,Fox Film Corporation,"May 6, 1927",110,$1.3 million,$22.5 million,$2.5 million,$43.2 million,m07.jpeg,https://archive.org/details/sevebth-heaven,https://en.wikipedia.org/wiki/7th_Heaven_(1927_film)
8,It,silent romantic comedy drama,Clarence G. Badger,"Clara Bow, Antonio Moreno, and William Austin","Elinor Glyn, Hope Loring, Louis D, Lighton, and George Marion Jr. (titiles)",,E. Lloyd Sheldon,H. Kinley Martin,"Adoplh Zukor, Jesse L. Lasky, and B. P. Schulberg",Paramount Pictures,"19 February, 1927",72,,,$1 million,$17.2 million,m08.jpeg,https://archive.org/details/it-comedy-1927,https://en.wikipedia.org/wiki/It_(1927_film)
9,Underworld,silent crime,Josef von Sternberg,"Clive Brook, Evelyn Brent, George Bancroft, Larry Semon, and Fred Kohler","Ben Hecht, Charles Fruthman, and Robert N. Lee",E. Lloyd Sheldon,,Bert Glennon,Hector Turnbull and B. P. Schulberg,Paramount Pictures,"August 20, 1927",80,,,$1.6 million,$27.6 million,m09.jpeg,https://archive.org/details/underworld_202108,https://en.wikipedia.org/wiki/Underworld_(1927_film)
10,The Cat and the Canary,silent comedy horror,Paul Leni,"Laura La Plante, Forrest Stanley, Creighton Hale, and Flora Finch",Alfred A. Cohn and Walter Anthony,Martin G. Cohn,Hugo Riesenfeld,Gilbert Warrenton,Paul Kohner,Universal Pictures,"September 9, 1927",82,,,"$325,550 ",$5.6 million,m10.jpeg,https://archive.org/details/TheCatAndTheCanary1927DVDRipSiRiUsSHaRe,https://en.wikipedia.org/wiki/The_Cat_and_the_Canary_(1927_film)
11,The Student Prince in Old Heidelberg,silent drama,Ernst Lubitsch,Ramón Novarro and Norma Shearer,"Hanns Kräly, Ruth Cummings (titles), and Marian Ainslee (titles)",Andrew Marton,"William Axt, David Mendoza, and Carl Davis",John J. Mescall,Ernst Lubitsch,Metro-Goldwyn-Mayer,"September 21, 1927",105,$1.2 million,$20.7 million,$1.5 million,$25.9 million,m11.jpeg,https://archive.org/details/TheStudentPrince_201611,https://en.wikipedia.org/wiki/The_Student_Prince_in_Old_Heidelberg
12,When a Man Loves,silent historical drama,Alan Crosland,John Barrymore and Dolores Costello,Bess Meredyth,Harold McCord,Henry Hadley,Byron Haskin,Warner Bros. Pictures,Warner Bros. Pictures,"February 3, 1927",111,"$528,000 ",$9.1 million,$1 million,$17.9 million,m12.jpeg,https://archive.org/details/when-a-man-loves_1927,https://en.wikipedia.org/wiki/When_a_Man_Loves
13,The Patent Leather Kid,silent drama,Alfred Santell,"Richard Barthelmess, Molly O'Day, Lawford Davidson, Matthew Betz, and Arthur Stone",Rupert Hughes and Winifred Dunn,,Cecil Copping,"Arthur Edeson, Ralph Hammeras, and Alvin Knechtel",Alfred Santell and Richard A. Rowland,First National Pictures,"August 15, 1927",108,"$850,000 ",$14.7 million,$1.2 million,$20.7 million,m13.jpeg,https://archive.org/details/the-patent-leather-kid_1927,https://en.wikipedia.org/wiki/The_Patent_Leather_Kid
14,Uncle Tom's Cabin,silient historical drama,Harry A. Polland,"Margarita Fischer, Arthur Edmund Carewe, and George Siegmann ","Harvey F. Thew, A. P. Younger, and Walter Younger (titles)","Gilmore Walker, Daniel Mandell, Byron Robinson, and Ted Kent",Erno Rapee,Charles Stumar and Jacob Kull,Carl Laemmle,Universal Pictures,"November 4, 1927",112,$1.5 million (estimated),$25.9 million,,,m14.jpeg,https://archive.org/details/UncleTom_201902,https://en.wikipedia.org/wiki/Uncle_Tom%27s_Cabin_(1927_film)
15,Love,silent romantic drama,Edmund Goulding and John Gilbert,John Gilbert and Greta Garbo,"Lorna Moon, Frances Marion, Marian Ainslee, and Ruth Cummings",Hugh Wynn,,William H. Daniels,Edmund Goulding,Metro-Goldwyn-Mayer,"November 27, 1927",82,"$487,995 ",$8.4 million,$1.7 million,$29.4 million,m15.jpeg,https://en.wikipedia.org/wiki/File:Love_(1927_US).webm,https://en.wikipedia.org/wiki/Love_(1927_American_film)
16,Chicago,silent crime comedy-drama,Frank Urson,"Phyllis Haver, Julia Faye, Victor Varconi, and May Robson",Lenore J. Coffee,Anne Bauchens,,J. Peverell Marley,Cecil B. DeMille,Pathé Exchange,"December 27, 1927",103,"$303,306 ",$5.2 million,"$483,165 ",$8.4 million,m16.jpeg,https://en.wikipedia.org/wiki/File:Chicago_(1927).webm,https://en.wikipedia.org/wiki/Chicago_(1927_film)
17,Children of Divorce,silent romantic drama,Frank Lloyd,"Clara Bow, Esther Ralston, Gary Cooper, Einar Hansen, and Norman Trevor","Louis D. Lighton, Hope Loring, Adela Rogers St. Johns, and Alfred Hustwick (titles)",,E. Lloyd Sheldon,Norbert Brodine and Victor Milner,"Jesse L. Lasky, E. Lloyd Sheldon, and Adoplh Zukor",Paramount Pictures,"April 2, 1927",70,$1 million (estimated),$17.9 million,,,m17.jpeg,https://archive.org/details/LosHijosDelDivorcio1927USAChildrenOfDivorce,https://en.wikipedia.org/wiki/Children_of_Divorce_(1927_film)
18,Rough House Rosie,silent romantic comedy,Frank Strayer,"Clara Bow, Reed Howes, Arthur Housman, and Doris Hill","Max Marcin, Louise Long, Ethel Doherty, Nunnally Johnson, and George Marion, Jr.",,,Harold Rosson and James Murray,B. P. Schulberg,Paramount Pictures,"May 14, 1927",66,"$225,000 ",$3.9 million,$1.1 million,$19 million,m18.jpeg,https://archive.org/details/youtube-dVCfGZ9l3xI,https://en.wikipedia.org/wiki/Rough_House_Rosie
19,Hula,silent romantic comedy,Victor Fleming,"Clara Bow, Clive Brook, Arlette Marchal, and Albert Gran","Doris Anderson, Ethel Doherty, George Marion Jr., and Frederica Sagor",E. Lloyd Sheldon and Eda Warren,,William Marshall,"Adoplh Zukor, Jesse L. Lasky, and B. P. Schulberg",Paramount Pictures,"August 27, 1927",64,,,"$436,342 ",$7.5 million,m19.jpeg,https://archive.org/details/Hula1927USA,https://en.wikipedia.org/wiki/Hula_(film)
20,Two Arabian Knights,silent comedy,Lewis Milestone,"William Boyd, Mary Astor, and Louis Wolheim","Wallace Smith, Cyril Gardner, James T. O'Donohoe, and George Marion Jr.",Douglass Biggs,,Tony Gaudio and Joseph H. August,John W. Considine Jr. and Howard Hughes,United Artists,"September 23, 1927",92,$1 million,$17.9 million,"$509,718 ",$8.8 million,m20.jpeg,https://archive.org/details/two-arabian-knights_1927,https://en.wikipedia.org/wiki/Two_Arabian_Knights
